Conference,Team,W-L,PCT,GB,PF,PA,HOME,AWAY,CONF,DIV,L10,STRK
Eastern,Bucks,58-24,.707,-,116.9,113.3,32-9,26-15,35-17,11-5,6-4,L2
Eastern,Celtics,57-25,.695,1.0,117.9,111.4,32-9,25-16,34-18,11-5,8-2,W3
Eastern,76ers,54-28,.659,4.0,115.2,110.9,29-12,25-16,34-18,10-6,5-5,W2
Eastern,Cavaliers,51-31,.622,7.0,112.3,106.9,31-10,20-21,34-18,13-3,7-3,L1
Eastern,Knicks,47-35,.573,11.0,116.0,113.1,23-18,24-17,32-20,8-8,5-5,L2
Eastern,Nets,45-37,.549,13.0,113.3,112.5,23-18,22-19,30-22,7-9,6-4,L1
Eastern,Hawks,41-41,.500,17.0,118.4,118.1,24-17,17-24,26-26,8-8,5-5,L2
Eastern,Heat,44-38,.537,14.0,109.5,109.8,27-14,17-24,24-28,10-6,6-4,W1
Eastern,Raptors,41-41,.500,17.0,112.8,111.4,27-14,14-27,26-26,4-12,6-4,W1
Eastern,Bulls,40-42,.488,18.0,113.1,111.8,22-19,18-23,27-25,7-9,6-4,W2
Eastern,Pacers,35-47,.427,23.0,116.3,119.5,20-21,15-26,24-28,7-9,3-7,W1
Eastern,Wizards,35-47,.427,23.0,113.2,114.4,19-22,16-25,21-31,8-8,3-7,L1
Eastern,Magic,34-48,.415,24.0,111.4,114.0,20-21,14-27,20-32,7-9,5-5,L4
Eastern,Hornets,27-55,.329,31.0,110.9,117.2,13-28,14-27,15-37,7-9,5-5,W1
Eastern,Pistons,17-65,.207,41.0,110.3,118.5,9-32,8-33,8-44,2-14,1-9,L
Western,Nuggets,53-29,.646,-,115.8,112.5,34-7,19-22,34-18,10-6,5-5,W1
Western,Grizzlies,51-31,.622,2.0,116.9,113.0,35-6,16-25,30-22,13-3,6-4,L1
Western,Kings,48-34,.585,5.0,120.7,118.1,23-18,25-16,32-20,9-7,5-5,L3
Western,Suns,45-37,.549,8.0,113.7,111.6,28-13,17-24,30-22,9-7,7-3,L2
Western,Clippers,44-38,.537,9.0,113.6,113.1,23-18,21-20,27-25,9-7,6-4,W3
Western,Warriors,44-38,.537,9.0,118.9,117.1,33-8,11-30,30-22,7-9,8-2,W3
Western,Lakers,43-39,.524,10.0,117.2,116.6,23-18,20-21,27-25,6-10,8-2,W2
Western,Timberwolves,42-40,.512,11.0,115.8,115.8,22-19,20-21,29-23,8-8,7-3,W3
Western,Pelicans,42-40,.512,11.0,114.4,112.5,27-14,15-26,29-23,11-5,7-3,L1
Western,Thunder,40-42,.488,13.0,117.5,116.4,24-17,16-25,25-27,9-7,4-6,W2
Western,Mavericks,38-44,.463,15.0,114.2,114.2,23-18,15-26,28-24,9-7,2-8,L2
Western,Jazz,37-45,.451,16.0,117.1,118.0,23-18,14-27,24-28,6-10,2-8,L1
Western,Trail Blazers,33-49,.402,20.0,113.4,117.4,17-24,16-25,23-29,7-9,1-9,L4
Western,Rockets,22-60,.268,31.0,110.7,118.6,14-27,8-33,12-40,4-12,4-6,W3
Western,Spurs,22-60,.268,31.0,113.0,123.1,14-27,8-33,10-42,3-13,3-7,W1

